CUS_ID,count,Mon,Tue,Wed,Thu,Fri,Sat,Sun,건강/의학,게임,교육/학원,금융/부동산,뉴스/미디어,문학/예술,비즈니스/경제,사회/문화/종교,생활/가정/취미,서비스,쇼핑,스포츠/레저,엔터테인먼트,여행,온라인교육,유통/판매/운송,인터넷/컴퓨터,정보통신/IT,정치/행정,제조,커뮤니티,학문
1966,3602,577.0,498.0,839.0,880.0,561.0,77.0,170.0,1.0,166.0,106.0,5.0,680.0,,26.0,4.0,16.0,26.0,202.0,,132.0,17.0,37.0,4.0,1736.0,4.0,65.0,19.0,353.0,3.0
1996,4043,830.0,716.0,733.0,795.0,898.0,16.0,55.0,6.0,7.0,,41.0,497.0,,136.0,,26.0,32.0,1459.0,2.0,79.0,17.0,9.0,5.0,1405.0,35.0,15.0,14.0,258.0,
2039,1562,124.0,219.0,197.0,248.0,293.0,247.0,234.0,1.0,,1.0,,40.0,2.0,156.0,1.0,1.0,,7.0,,95.0,,7.0,,605.0,,,1.0,645.0,
2072,2728,400.0,514.0,496.0,400.0,355.0,318.0,245.0,23.0,3.0,17.0,35.0,859.0,,31.0,,1.0,4.0,111.0,,127.0,1.0,29.0,,1132.0,10.0,12.0,1.0,332.0,
2074,2229,284.0,427.0,349.0,382.0,243.0,294.0,250.0,3.0,,35.0,27.0,236.0,,7.0,,11.0,6.0,73.0,11.0,15.0,11.0,148.0,1.0,1313.0,2.0,50.0,1.0,278.0,1.0
2081,5319,1131.0,1264.0,1029.0,782.0,1113.0,,,1.0,17.0,,92.0,310.0,2.0,64.0,,11.0,10.0,2170.0,7.0,24.0,2.0,1.0,8.0,1957.0,222.0,17.0,5.0,399.0,
2090,3652,695.0,670.0,627.0,706.0,746.0,147.0,61.0,21.0,127.0,,283.0,414.0,,40.0,3.0,15.0,8.0,627.0,3.0,78.0,4.0,15.0,6.0,1321.0,85.0,35.0,29.0,530.0,8.0
2101,4588,905.0,752.0,749.0,822.0,771.0,583.0,6.0,7.0,,5.0,18.0,2301.0,,5.0,1.0,7.0,2.0,76.0,13.0,95.0,,11.0,,1759.0,6.0,96.0,3.0,183.0,
2157,3758,551.0,646.0,620.0,625.0,384.0,606.0,326.0,17.0,73.0,2.0,116.0,1308.0,,29.0,5.0,6.0,16.0,661.0,7.0,144.0,4.0,3.0,11.0,1133.0,15.0,2.0,10.0,195.0,1.0
2173,2994,741.0,525.0,500.0,592.0,599.0,37.0,,8.0,,4.0,45.0,492.0,,14.0,23.0,29.0,41.0,401.0,1.0,24.0,5.0,25.0,6.0,1545.0,9.0,13.0,6.0,303.0,
2181,1912,388.0,345.0,369.0,322.0,365.0,36.0,87.0,3.0,,,144.0,99.0,1.0,7.0,,6.0,9.0,285.0,,25.0,6.0,28.0,4.0,1070.0,2.0,6.0,2.0,215.0,
2223,3096,412.0,825.0,515.0,754.0,562.0,26.0,2.0,,23.0,,76.0,671.0,,6.0,5.0,12.0,6.0,279.0,6.0,50.0,8.0,17.0,8.0,1285.0,1.0,18.0,6.0,618.0,1.0
2225,1430,273.0,324.0,266.0,285.0,279.0,3.0,,1.0,,,82.0,11.0,,15.0,1.0,,4.0,346.0,,1.0,,,29.0,826.0,9.0,85.0,6.0,14.0,
2261,1277,199.0,187.0,250.0,189.0,183.0,139.0,130.0,1.0,1.0,3.0,9.0,119.0,,11.0,,8.0,1.0,187.0,,19.0,17.0,5.0,4.0,686.0,3.0,,3.0,200.0,
2323,5552,1078.0,1092.0,1074.0,1138.0,1119.0,26.0,25.0,2.0,2.0,32.0,60.0,1550.0,1.0,215.0,5.0,9.0,11.0,27.0,76.0,72.0,26.0,62.0,4.0,2843.0,5.0,205.0,3.0,340.0,2.0
2341,3816,741.0,824.0,785.0,681.0,785.0,,,10.0,8.0,2.0,235.0,335.0,1.0,12.0,1.0,12.0,48.0,914.0,8.0,99.0,26.0,8.0,69.0,1331.0,44.0,17.0,6.0,629.0,1.0
2367,2633,593.0,475.0,461.0,444.0,487.0,140.0,33.0,7.0,2.0,,50.0,729.0,,16.0,1.0,11.0,6.0,100.0,1.0,15.0,1.0,,53.0,1396.0,14.0,115.0,6.0,110.0,
2382,3076,436.0,510.0,375.0,323.0,443.0,443.0,546.0,2.0,920.0,1.0,2.0,617.0,1.0,14.0,2.0,13.0,16.0,24.0,9.0,169.0,1.0,53.0,,818.0,19.0,1.0,6.0,388.0,
2449,3127,399.0,486.0,361.0,438.0,418.0,406.0,619.0,5.0,4.0,5.0,11.0,353.0,,21.0,,6.0,51.0,704.0,,161.0,2.0,3.0,4.0,1122.0,30.0,,9.0,636.0,
